war,1,41,1,2730024,29605307
war,31,100,100,263500351,1117753517
war,1,11,1,780024,8455307
war,100,21,21,176327610,706734469
war,100,31,31,260292610,1043269469
simulate,1,3,1,11566,137692
war,61,100,100,514000681,2095006757
simulate,81,1,1,63432,743073
war,100,41,41,344257610,1379804469
war,51,100,100,430500571,1769255677
simulate,21,1,1,17037,199338
war,1,21,1,1430024,15505307
simulate,61,1,1,47923,561316
war,1,1,31,2080024,22405310
war,91,100,100,764501011,3072259997
war,1,1,11,780024,8405310
simulate,1,4,1,25264,302081
simulate,41,1,1,32503,380603
war,21,100,100,180000241,792002437
war,100,11,11,92362610,370199469
war,1,100,100,13000021,140500277
war,71,100,100,597500791,2420757837
simulate,11,1,1,8825,103264
simulate,91,1,1,71121,833186
simulate,10,1,1,8006,93680
simulate,10,1,2,9568,111287
simulate,10,1,3,9563,111185
war,41,100,100,347000461,1443504597
war,1,1,1,130021,1405277
war,1,31,1,2080024,22555307
simulate,71,1,1,55704,652499
simulate,1,1,1,860,10020
war,11,100,100,96500131,466251357
simulate,31,1,1,24726,289451
war,100,1,1,8397610,33664469
war,1,1,41,2730024,29405310
war,1,1,21,1430024,15405310
simulate,1,2,1,2834,33513
war,81,100,100,681000901,2746508917
simulate,51,1,1,40234,471203
